"iteration","training-loss","Mistral-7b-VE-algebraic-stack-a100-16node-128gpu-4096s-BS=1024-LR=6e-5-MINLR=2e-6-WARMUP=1000-WD=0.1-GC=1 - training/loss__MIN","Mistral-7b-VE-algebraic-stack-a100-16node-128gpu-4096s-BS=1024-LR=6e-5-MINLR=2e-6-WARMUP=1000-WD=0.1-GC=1 - training/loss__MAX"
"155","2.529327630996704","2.529327630996704","2.529327630996704"
"156","2.505885362625122","2.505885362625122","2.505885362625122"
"157","2.4880003929138184","2.4880003929138184","2.4880003929138184"
"158","2.501088857650757","2.501088857650757","2.501088857650757"
"159","2.495854139328003","2.495854139328003","2.495854139328003"
"160","2.4818992614746094","2.4818992614746094","2.4818992614746094"
"161","2.492969036102295","2.492969036102295","2.492969036102295"
"162","2.475433349609375","2.475433349609375","2.475433349609375"
"163","2.4753360748291016","2.4753360748291016","2.4753360748291016"
"164","2.4589297771453857","2.4589297771453857","2.4589297771453857"
"165","2.4862253665924072","2.4862253665924072","2.4862253665924072"
"166","2.450923204421997","2.450923204421997","2.450923204421997"
"167","2.4608161449432373","2.4608161449432373","2.4608161449432373"
"168","2.4678046703338623","2.4678046703338623","2.4678046703338623"
"169","2.445009708404541","2.445009708404541","2.445009708404541"
"170","2.463374614715576","2.463374614715576","2.463374614715576"
"171","2.433379650115967","2.433379650115967","2.433379650115967"
"172","2.4243111610412598","2.4243111610412598","2.4243111610412598"
"173","2.434199094772339","2.434199094772339","2.434199094772339"
"174","2.412524938583374","2.412524938583374","2.412524938583374"
"175","2.428799867630005","2.428799867630005","2.428799867630005"
"176","2.423892021179199","2.423892021179199","2.423892021179199"
"177","2.432882308959961","2.432882308959961","2.432882308959961"
"178","2.418567180633545","2.418567180633545","2.418567180633545"
"179","2.423048734664917","2.423048734664917","2.423048734664917"
"180","2.402871608734131","2.402871608734131","2.402871608734131"
"181","2.411900758743286","2.411900758743286","2.411900758743286"
"182","2.4346277713775635","2.4346277713775635","2.4346277713775635"
"183","2.418658494949341","2.418658494949341","2.418658494949341"
